monomer_smiles,polymerisation_type,is_experimental,polymer_smiles,repeating_units,initiator_smiles,solvent,solvent_model,monomer_state,polymer_state,temperature,pressure,method,delta_h,delta_s,ceiling_temperature,delta_g,date,doi,url,comp_functional,comp_basis_set,comp_dispersion,comp_forcefield,comment,initial_monomer_conc,bulk_monomer_conc,dispersity,degree_of_polymerisation,number_average_molar_mass,mass_average_molar_mass
S=C1SCCC(C)C1,RER,FALSE,S=C([*])CC(C)CCS[*],3.00,,,,,,298.15,,dft,20.61679172,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
S=C1SCCCC1C,RER,FALSE,S=C([*])C(C)CCCS[*],3.00,,,,,,298.15,,dft,3.064154829,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1SCCC1,RER,FALSE,O=C([*])CCCS[*],3.00,,,,,,298.15,,dft,10.79236276,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1SCCSC1,RER,FALSE,O=C([*])CSCCS[*],3.00,,,,,,298.15,,dft,-1.642225447,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1SCCOC2=CC=CC=C21,RER,FALSE,O=C([*])C1=CC=CC=C1OCCS[*],3.00,,,,,,298.15,,dft,-0.745072248,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1SCCCS1,RER,FALSE,O=C([*])SCCCS[*],3.00,,,,,,298.15,,dft,-13.45705673,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1SCCCO1,RER,FALSE,O=C([*])OCCCS[*],3.00,,,,,,298.15,,dft,-4.397160544,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
S=C1SCCCS1,RER,FALSE,S=C([*])SCCCS[*],3.00,,,,,,298.15,,dft,1.848104544,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
S=C1SCCO1,RER,FALSE,S=C([*])OCCS[*],3.00,,,,,,298.15,,dft,16.02032358,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
C12=CC=CC=C1SCCC3=C2C=CC=C3,RER,FALSE,[*]C1=CC=CC=C1C(C=CC=C2)=C2CCS[*],3.00,,,,,,298.15,,dft,9.853403215,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
C1=CCCC1,RER,FALSE,[*]C=CCCC[*],3.00,,,,,,298.15,,dft,8.427346869,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CC1CO1,RER,FALSE,[*]CC(C)O[*],3.00,,,,,,298.15,,dft,-62.55819428,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
C1COC1,RER,FALSE,[*]CCCO[*],3.00,,,,,,298.15,,dft,-79.46690225,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CC1CCO1,RER,FALSE,[*]CCC(C)O[*],3.00,,,,,,298.15,,dft,-60.36210474,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CC1COC1,RER,FALSE,[*]CC(C)CO[*],3.00,,,,,,298.15,,dft,-62.10323929,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
OC1COC1,RER,FALSE,[*]CC(O)CO[*],3.00,,,,,,298.15,,dft,-76.90097026,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
C1CSS1,RER,FALSE,[*]CCSS[*],3.00,,,,,,298.15,,dft,-84.84755151,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CC1CS1,RER,FALSE,[*]CC(C)S[*],3.00,,,,,,298.15,,dft,-34.08020645,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CCC1CS1,RER,FALSE,[*]CC(CC)S[*],3.00,,,,,,298.15,,dft,-25.56675576,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
C1CSSC1,RER,FALSE,[*]CCCSS[*],3.00,,,,,,298.15,,dft,-12.62530577,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CC1(C)CS1,RER,FALSE,[*]CC(C)(C)S[*],3.00,,,,,,298.15,,dft,-30.01654924,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CC1CCS1,RER,FALSE,[*]CCC(C)S[*],3.00,,,,,,298.15,,dft,-47.44378139,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
C1CCSC1,RER,FALSE,[*]CCCCS[*],3.00,,,,,,298.15,,dft,9.39832671,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1CCO1,RER,FALSE,[*]CCC(=O)O[*],3.00,,,,,,298.15,,dft,-51.83818412,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1CCN1,RER,FALSE,[*]CCC(=O)N[*],3.00,,,,,,298.15,,dft,-77.50217151,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
C1CN1,RER,FALSE,[*]CCN[*],3.00,,,,,,298.15,,dft,-85.32588121,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CC1(C)C=C1,RER,FALSE,[*]C=CC([*])(C)C,3.00,,,,,,298.15,,dft,-164.0711816,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1CCCCS1,RER,FALSE,[*]CCCCC(=O)S[*],3.00,,,,,,298.15,,dft,3.879360964,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=S1CCC1,RER,FALSE,[*]CCCS([*])=O,3.00,,,,,,298.15,,dft,-33.75944496,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C2OC1CCCCC1O2,RER,FALSE,[*]OC1CCCCC1OC([*])=O,3.00,,,,,,298.15,,dft,25.71785231,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
C1CCOC1,RER,FALSE,[*]CCCCO[*],3.00,,,,,,298.15,,dft,4.119127338,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1NCCCO1,RER,FALSE,[*]OCCCNC([*])=O,3.00,,,,,,298.15,,dft,-17.79449175,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
C1CCCCC1,RER,FALSE,[*]CCCCCC[*],3.00,,,,,,298.15,,dft,13.0056018,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
C1CCCCCC1,RER,FALSE,[*]CCCCCCC[*],3.00,,,,,,298.15,,dft,-4.755560263,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
